StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID47,QID52,Q1,Q1_4_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q8_5_TEXT,Q9,Q9,Q10,Q11,Q12,Q13,Q14,QID53,PROLIFIC_PID,FL_22_DO
2025-06-22 23:41:18,2025-06-22 23:43:42,IP Address,100,143,True,2025-06-22 23:43:42,R_QctlqPvKo4bFfPj,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6400dc45648545e7ca8f35a6,Non-binary / third gender,,Asian,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Strongly disagree,Neither,,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not sure,I consent.,6400dc45648545e7ca8f35a6,FL_23
2025-06-22 23:40:57,2025-06-22 23:43:50,IP Address,100,172,True,2025-06-22 23:43:50,R_1l6ri9ifUB9mrkH,anonymous,EN,0.800000011920929,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67fdea304e70cbd7904a0c98,Male,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Strongly agree,Canada,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,I consent.,67fdea304e70cbd7904a0c98,FL_24
2025-06-22 23:41:20,2025-06-22 23:44:01,IP Address,100,160,True,2025-06-22 23:44:01,R_2SxDvKfXkZpmIqF,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",685461ba2d002a3b6f2bccec,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Somewhat agree,The United States,,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Mostly,I consent.,685461ba2d002a3b6f2bccec,FL_23
2025-06-22 23:40:54,2025-06-22 23:44:04,IP Address,100,189,True,2025-06-22 23:44:04,R_2Vaol7pOWS6WQFp,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",605b8cf6c07b6842b5cab429,Male,,White or Caucasian,Bachelor’s degree,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,I consent.,605b8cf6c07b6842b5cab429,FL_23
2025-06-22 23:41:35,2025-06-22 23:44:05,IP Address,100,149,True,2025-06-22 23:44:05,R_2Bt7Bs0nDNCtJR5,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6845ecc86c75f6a978f396e6,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat disagree,The United States,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Extremely,I consent.,6845ecc86c75f6a978f396e6,FL_24
2025-06-22 23:40:27,2025-06-22 23:44:07,IP Address,100,219,True,2025-06-22 23:44:07,R_1Q3Jk6pWti7QLLo,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",5d3695969749cc00165c222f,Male,,White or Caucasian,"Some college, but no degree",Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,I consent.,5d3695969749cc00165c222f,FL_23
2025-06-22 23:41:48,2025-06-22 23:44:07,IP Address,100,138,True,2025-06-22 23:44:07,R_12bz2UOb9iY1AkA,anonymous,EN,0.6000000238418579,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67e317f7b960c1d78e42fd8a,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,I consent.,67e317f7b960c1d78e42fd8a,FL_23
2025-06-22 23:41:31,2025-06-22 23:44:08,IP Address,100,157,True,2025-06-22 23:44:08,R_2rjWbYNz8xq010a,anonymous,EN,0.699999988079071,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6815f715db4b297fb0c6aa19,Male,,Black or African American,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,Canada,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Neither positive nor negative,Extremely,I consent.,6815f715db4b297fb0c6aa19,FL_23
2025-06-22 23:40:49,2025-06-22 23:44:08,IP Address,100,198,True,2025-06-22 23:44:08,R_3IbfktrCytEXmMi,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",65c993fa0f6b519cafbc973f,Male,,Asian,Bachelor’s degree,Liberal,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Canada,,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Slightly,I consent.,65c993fa0f6b519cafbc973f,FL_23
2025-06-22 23:41:42,2025-06-22 23:44:13,IP Address,100,151,True,2025-06-22 23:44:13,R_1JVhoO5r3pom7TQ,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67375c1f61a86b8d24257945,Female,,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Somewhat agree,Somewhat agree,The United States,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,I consent.,67375c1f61a86b8d24257945,FL_24
2025-06-22 23:41:04,2025-06-22 23:44:15,IP Address,100,191,True,2025-06-22 23:44:16,R_3HRJoHJ6HQ06bG1,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6834c4ad801bc0b37e78ffb9,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Extremely,I consent.,6834c4ad801bc0b37e78ffb9,FL_24
2025-06-22 23:40:53,2025-06-22 23:44:20,IP Address,100,207,True,2025-06-22 23:44:20,R_24r4HUr6Ir3SMnw,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6422f34be2b8257efb345837,Female,,Asian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Canada,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Slightly,I consent.,6422f34be2b8257efb345837,FL_24
2025-06-22 23:40:44,2025-06-22 23:44:24,IP Address,100,220,True,2025-06-22 23:44:24,R_2uCllQTYJLXwlPD,anonymous,EN,0.800000011920929,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68389c9ebaae4590903d80c5,Male,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly agree,Somewhat agree,Canada,,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,I consent.,68389c9ebaae4590903d80c5,FL_24
2025-06-22 23:41:20,2025-06-22 23:44:27,IP Address,100,186,True,2025-06-22 23:44:27,R_3LZpftHkww3TqEz,anonymous,EN,0.699999988079071,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68351a41e33c7e0b99652414,Female,,White or Caucasian,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Somewhat disagree,Canada,,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,I consent.,68351a41e33c7e0b99652414,FL_23
2025-06-22 23:41:01,2025-06-22 23:44:30,IP Address,100,208,True,2025-06-22 23:44:30,R_1dzR82gTVhcatUb,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67722f8e3a4f08a288a1f640,Female,,White or Caucasian,"Some college, but no degree",Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,I consent.,67722f8e3a4f08a288a1f640,FL_24
2025-06-22 23:41:56,2025-06-22 23:44:31,IP Address,100,154,True,2025-06-22 23:44:31,R_2uUQHGOr6NW0Hxu,anonymous,EN,0.6000000238418579,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6852100c20f43235d62e3717,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Strongly agree,The United States,,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Extremely,I consent.,6852100c20f43235d62e3717,FL_24
2025-06-22 23:41:03,2025-06-22 23:44:34,IP Address,100,211,True,2025-06-22 23:44:35,R_3iX4OqeHTqcJ0B2,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",672bc3ce315f709fe35a3392,Male,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Extremely negative,Not at all,I consent.,672bc3ce315f709fe35a3392,FL_23
2025-06-22 23:41:08,2025-06-22 23:44:44,IP Address,100,215,True,2025-06-22 23:44:44,R_3DXOs4BBnaMINK9,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",672c458ac79d8349d7c2a339,Female,,Other,"Some college, but no degree",Liberal,Strongly agree,Somewhat agree,Strongly disagree,Canada,,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,I consent.,672c458ac79d8349d7c2a339,FL_23
2025-06-22 23:42:16,2025-06-22 23:44:46,IP Address,100,150,True,2025-06-22 23:44:47,R_1l4a89QAbKSxNyp,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",65958438929aaa555306b792,Female,,Black or African American,"Some college, but no degree",Liberal,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither,,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,I consent.,65958438929aaa555306b792,FL_23
2025-06-22 23:41:14,2025-06-22 23:44:48,IP Address,100,214,True,2025-06-22 23:44:48,R_1M4IVKFZTCUwihZ,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",666e123eb6aff45cf5be575e,Female,,White or Caucasian,Bachelor’s degree,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,Canada,,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,I consent.,666e123eb6aff45cf5be575e,FL_24
2025-06-22 23:40:32,2025-06-22 23:44:52,IP Address,100,260,True,2025-06-22 23:44:52,R_1rPVeGDXxJ3dc5j,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",666f76b68b89442817be678a,Male,,White or Caucasian,High school diploma or GED,Liberal,Somewhat agree,Strongly agree,Somewhat disagree,The United States,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,I consent.,666f76b68b89442817be678a,FL_24
2025-06-22 23:41:31,2025-06-22 23:44:55,IP Address,100,204,True,2025-06-22 23:44:55,R_O7Ia0QwuqV1ROsV,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6849e645d47956476f144c61,Male,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,Canada,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,I consent.,6849e645d47956476f144c61,FL_23
2025-06-22 23:41:40,2025-06-22 23:44:57,IP Address,100,196,True,2025-06-22 23:44:57,R_1FLic3zLvuQCTGj,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",65ecbbfd7c441da2b07a6faa,Male,,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Not at all,I consent.,65ecbbfd7c441da2b07a6faa,FL_24
2025-06-22 23:40:16,2025-06-22 23:44:58,IP Address,100,281,True,2025-06-22 23:44:58,R_tE90BHWnnJ06pUJ,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",671d553e0d035028da7d29a1,Female,,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Strongly disagree,Neither,,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,I consent.,671d553e0d035028da7d29a1,FL_23
2025-06-22 23:41:06,2025-06-22 23:44:59,IP Address,100,232,True,2025-06-22 23:44:59,R_Y6snIESoVxNmEa5,anonymous,EN,0.800000011920929,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",683aeaa76677735d76b8631e,Female,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,I consent.,683aeaa76677735d76b8631e,FL_23
2025-06-22 23:41:19,2025-06-22 23:44:59,IP Address,100,220,True,2025-06-22 23:45:00,R_4SXg7jIlggcxT69,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68314eef29b9d9c06168b1ca,Male,,White or Caucasian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,The United States,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Somewhat,I consent.,68314eef29b9d9c06168b1ca,FL_24
2025-06-22 23:41:02,2025-06-22 23:45:02,IP Address,100,240,True,2025-06-22 23:45:02,R_XZACw6ysbiqYEI9,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",61038275adbb6f53ae85b482,Female,,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Not at all,I consent.,61038275adbb6f53ae85b482,FL_23
2025-06-22 23:41:57,2025-06-22 23:45:03,IP Address,100,186,True,2025-06-22 23:45:04,R_2zMEWF9Cyi7GT8c,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",682e6520338838a77f9481d2,Non-binary / third gender,,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,I consent.,682e6520338838a77f9481d2,FL_23
2025-06-22 23:41:49,2025-06-22 23:45:03,IP Address,100,193,True,2025-06-22 23:45:04,R_eu6l2XOUEByqmiJ,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",6763f1133bd483762829334e,Female,,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Somewhat,I consent.,6763f1133bd483762829334e,FL_24
2025-06-22 23:41:56,2025-06-22 23:45:04,IP Address,100,187,True,2025-06-22 23:45:04,R_0JI9J14ZGzadnm9,anonymous,EN,1,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",67eee89119de070d8b864f60,Male,,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Strongly agree,Strongly agree,The United States,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,I consent.,67eee89119de070d8b864f60,FL_23
2025-06-22 23:40:36,2025-06-22 23:45:05,IP Address,100,268,True,2025-06-22 23:45:05,R_Tu2KLqJnM3EFqfL,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",669e4a952b055847c1283f09,Female,,Black or African American,"Some college, but no degree",Moderate,Somewhat agree,Strongly agree,Strongly disagree,Canada,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,I consent.,669e4a952b055847c1283f09,FL_24
2025-06-22 23:40:54,2025-06-22 23:45:10,IP Address,100,255,True,2025-06-22 23:45:10,R_1doycapZKl8BLZT,anonymous,EN,0.8999999761581421,"I confirm that I am 18 years or older, a U.S. citizen or resident, and I consent to participate in this research study.",68448eefd8100bf5fb917fc4,Female,,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,Canada,,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Slightly,I consent.,68448eefd8100bf5fb917fc4,FL_23
