Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,FL_22_DO,DV1,DV2,DV1_avg,DV2_avg,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,Somewhat agree,2,4,Leans toward defending the U.S.
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Strongly agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Extremely,FL_24,3,4,High,High,Strongly Agree,1,5,"Rejects speaker�s message, defends gov"
1,Male,White or Caucasian,"Some college, but no degree",Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
0.600000024,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_23,4,1,High,Low,Q10 Response,DV1 (Speaker),DV2 (Gov),Rationale
0.699999988,Male,Black or African American,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Neither positive nor negative,Extremely,FL_23,4,3,High,High,Strongly Disagree,1,5,"Didn�t feel heard, defends U.S. strongly"
1,Male,Asian,Bachelor’s degree,Liberal,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Slightly,FL_23,4,2,High,Low,Somewhat disagree,2,4,"Slightly disconnects from PM, trusts U.S."
0.899999976,Female,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_24,3,4,High,High,Neither agree nor disagree,3,3,Ambivalent toward both
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Extremely,FL_24,2,5,Low,High,Somewhat agree,4,2,"Resonates with PM, moderate critique of U.S."
1,Female,Asian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,Canada,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Slightly,FL_24,4,2,High,Low,Strongly agree,5,1,"Feels fully heard, trusts PM over U.S. gov"
0.800000012,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Strongly agree,Somewhat agree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,,,,
0.699999988,Female,White or Caucasian,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Not at all,FL_23,4,1,High,Low,Q11 Response,DV1 (Speaker),DV2 (Gov),Rationale
0.899999976,Female,White or Caucasian,"Some college, but no degree",Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_24,5,1,High,Low,Strongly Disagree,1,�,Complete distrust of the speaker
0.600000024,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Extremely,FL_24,2,4,Low,High,Somewhat disagree,2,�,Somewhat skeptical
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Extremely negative,Not at all,FL_23,5,1,High,Low,Neither agree nor disagree,3,�,Ambivalent
1,Female,Other,"Some college, but no degree",Liberal,Strongly agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_23,5,1,High,Low,Somewhat agree,4,�,Generally finds speaker credible
0.899999976,Female,Black or African American,"Some college, but no degree",Liberal,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,4,2,High,Low,Strongly agree,5,�,Fully trusts speaker�s sincerity
0.899999976,Female,White or Caucasian,Bachelor’s degree,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,4,2,High,Low,,,,
1,Male,White or Caucasian,High school diploma or GED,Liberal,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_24,3,4,Low,High,Q12 Response,DV1 (Speaker),DV2 (Gov),Rationale
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,Strongly Disagree,1,�,Views speaker as illegitimate or intrusive
0.899999976,Male,White or Caucasian,High school diploma or GED,Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither positive nor negative,Somewhat positive,Not at all,FL_24,3,3,High,High,Somewhat disagree,2,�,Mild rejection of speaker�s legitimacy
0.899999976,Female,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,4,2,High,Low,Neither agree nor disagree,3,�,Ambivalent or unsure
0.800000012,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_23,2,3,Low,High,Somewhat agree,4,�,Accepts speaker�s legitimacy
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Somewhat,FL_24,3,3,High,High,Strongly agree,5,�,Fully supports speaker�s right to speak
0.899999976,Female,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,4,2,High,Low,,,,
0.899999976,Non-binary / third gender,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,5,2,High,Low,Q13 Response,DV1 (Speaker),DV2 (Gov),Rationale
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Somewhat,FL_24,3,3,Low,High,Extremely negative,1,�,Strong backlash / dislike
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Strongly agree,Strongly agree,The United States,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_23,3,4,Low,High,Somewhat negative,2,�,Moderate negative view
0.899999976,Female,Black or African American,"Some college, but no degree",Moderate,Somewhat agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24,5,1,High,Low,Neither positive nor negative,3,�,Neither backlash nor support
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Slightly,FL_23,5,2,High,Low,Somewhat positive,4,�,Moderate support
0.899999976,Female,Black or African American,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Not at all,FL_24,2,3,Low,High,Extremely positive,5,�,Strong positive view
0.699999988,Female,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Somewhat agree,Neither,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Slightly,FL_24,3,3,High,Low,,,,
0.5,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Extremely,FL_23,3,4,High,High,Q14 Response,DV1 (Speaker),DV2 (Gov),Rationale
1,Male,Asian,Bachelor’s degree,Very liberal,Somewhat agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24,5,1,High,Low,Extremely negative,�,1,Strong dissent / backlash
0.899999976,Male,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely negative,Neither positive nor negative,Not at all,FL_23,1,4,Low,High,Somewhat negative,�,2,Moderate dissent
0.899999976,Male,Black or African American,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23,3,3,High,High,Neither positive nor negative,�,3,No change / unsure
1,Male,White or Caucasian,Associates or technical degree,Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Extremely negative,Somewhat positive,Extremely,FL_24,3,4,Low,High,Somewhat positive,�,4,Moderate support
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Mostly,FL_24,2,4,Low,High,Extremely positive,�,5,Strong support
,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Mostly,FL_24,3,4,High,High,,,,
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,3,3,High,Low,Q15 Response,DV1 (Speaker),DV2 (Gov),Rationale
1,Non-binary / third gender,Asian,Associates or technical degree,Very liberal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24,5,1,High,Low,Not at all,,1,Strong dissent / rejection of gov policy
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Mostly,FL_23,3,4,High,High,Somewhat,,2,Moderate dissent
0.899999976,Female,Black or African American,"Some college, but no degree",Liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24,4,2,High,Low,Slightly,,3,Neutral position / indecision
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,Mostly,,4,Moderate support
0.699999988,Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Extremely,FL_24,4,3,High,Low,Extremely,,5,Strong support for U.S. government policy
1,Female,White or Caucasian,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Not at all,FL_23,3,3,High,Low,Not sure,,3,
0.5,Male,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither positive nor negative,Somewhat negative,Mostly,FL_24,3,3,Low,High,,,,
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Extremely positive,Somewhat negative,Mostly,FL_24,4,2,High,Low,,,,
0.899999976,Female,White or Caucasian,Associates or technical degree,Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23,3,4,High,High,,,,
0.699999988,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,4,2,High,Low,,,,
,Female,Asian,Bachelor’s degree,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,The United States,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat negative,Neither positive nor negative,Slightly,FL_23,2,4,Low,High,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,Neither,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not sure,FL_24,4,2,High,Low,,,,
1,Male,Asian,Bachelor’s degree,Moderate,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Slightly,FL_24,3,3,High,High,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Mostly,FL_23,3,3,High,High,,,,
0.400000006,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Extremely,FL_23,3,4,Low,High,,,,
0.600000024,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Mostly,FL_24,3,3,High,High,,,,
0.899999976,Male,White or Caucasian,High school diploma or GED,Prefer not to say,Somewhat disagree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_23,5,1,High,Low,,,,
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Somewhat positive,Mostly,FL_24,3,4,High,High,,,,
0.899999976,Male,Black or African American,"Some college, but no degree",Moderate,Somewhat disagree,Strongly agree,Strongly disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23,5,1,High,Low,,,,
0.300000012,Male,Black or African American,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat negative,Somewhat negative,Mostly,FL_23,2,4,Low,High,,,,
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat negative,Somewhat positive,Mostly,FL_24,3,4,Low,High,,,,
0.800000012,Female,White or Caucasian,Bachelor’s degree,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The United States,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_24,4,3,High,High,,,,
0.899999976,Male,White or Caucasian,Associates or technical degree,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Slightly,FL_24,3,4,Low,High,,,,
1,Male,White or Caucasian,High school diploma or GED,Very liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24,5,1,High,Low,,,,
0.5,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,5,2,High,Low,,,,
0.699999988,Male,Asian,"Some college, but no degree",Very liberal,Strongly disagree,Somewhat disagree,Strongly disagree,The United States,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Not at all,FL_24,3,2,High,Low,,,,
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat negative,Somewhat positive,Mostly,FL_23,3,4,Low,High,,,,
0.200000003,Female,Black or African American,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Somewhat negative,Slightly,FL_23,2,3,Low,High,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Somewhat,FL_23,2,4,Low,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_23,3,3,High,High,,,,
0.899999976,Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,The United States,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Neither agree nor disagree,Strongly agree,Somewhat disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not at all,FL_23,5,2,High,Low,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly disagree,Somewhat disagree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23,3,3,High,High,,,,
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23,4,2,High,Low,,,,
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Not at all,FL_23,4,3,High,Low,,,,
1,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_24,5,2,High,Low,,,,
0.899999976,Male,Black or African American,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Extremely,FL_23,3,4,High,High,,,,
1,Male,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely negative,Somewhat positive,Mostly,FL_24,2,4,Low,High,,,,
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23,3,3,High,High,,,,
0.200000003,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_24,4,3,High,Low,,,,
