Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9,Q10,Q11,Q12,Q13,Q14,FL_22_DO
0.899999976,Female,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23
0.800000012,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_23
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Somewhat,FL_24
0.899999976,Female,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor’s degree,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Not at all,FL_23
0.899999976,Non-binary / third gender,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Somewhat,FL_24
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Neither agree nor disagree,Strongly agree,Strongly agree,The United States,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_23
0.899999976,Female,Black or African American,"Some college, but no degree",Moderate,Somewhat agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,Canada,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Extremely positive,Neither positive nor negative,Slightly,FL_23
0.899999976,Female,Black or African American,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Not at all,FL_24
0.699999988,Female,White or Caucasian,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Somewhat agree,Neither,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Slightly,FL_24
0.5,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Extremely,FL_23
1,Male,Asian,Bachelor’s degree,Very liberal,Somewhat agree,Strongly agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24
0.899999976,Male,White or Caucasian,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely negative,Neither positive nor negative,Not at all,FL_23
0.899999976,Male,Black or African American,Bachelor’s degree,Moderate,Somewhat agree,Somewhat agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23
1,Male,White or Caucasian,Associates or technical degree,Moderate,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Extremely negative,Somewhat positive,Extremely,FL_24
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Mostly,FL_24
,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Neither positive nor negative,Mostly,FL_24
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23
1,Non-binary / third gender,Asian,Associates or technical degree,Very liberal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Canada,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Somewhat agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Mostly,FL_23
0.899999976,Female,Black or African American,"Some college, but no degree",Liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_24
1,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23
0.699999988,Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Extremely,FL_24
1,Female,White or Caucasian,"Some college, but no degree",Very conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Not at all,FL_23
0.5,Male,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither positive nor negative,Somewhat negative,Mostly,FL_24
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Extremely positive,Somewhat negative,Mostly,FL_24
0.899999976,Female,White or Caucasian,Associates or technical degree,Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23
0.699999988,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23
,Female,Asian,Bachelor’s degree,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,The United States,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat negative,Neither positive nor negative,Slightly,FL_23
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,Neither,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not sure,FL_24
1,Male,Asian,Bachelor’s degree,Moderate,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Slightly,FL_24
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Mostly,FL_23
0.400000006,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat negative,Somewhat positive,Extremely,FL_23
0.600000024,Female,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat negative,Mostly,FL_24
0.899999976,Male,White or Caucasian,High school diploma or GED,Prefer not to say,Somewhat disagree,Strongly disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_23
0.899999976,Female,White or Caucasian,Bachelor’s degree,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat positive,Somewhat positive,Mostly,FL_24
0.899999976,Male,Black or African American,"Some college, but no degree",Moderate,Somewhat disagree,Strongly agree,Strongly disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_23
0.300000012,Male,Black or African American,Bachelor’s degree,Very conservative,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat negative,Somewhat negative,Mostly,FL_23
,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Somewhat agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat negative,Somewhat positive,Mostly,FL_24
0.800000012,Female,White or Caucasian,Bachelor’s degree,Conservative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The United States,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_24
0.899999976,Male,White or Caucasian,Associates or technical degree,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Neither positive nor negative,Slightly,FL_24
1,Male,White or Caucasian,High school diploma or GED,Very liberal,Somewhat agree,Somewhat agree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24
0.5,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23
0.699999988,Male,Asian,"Some college, but no degree",Very liberal,Strongly disagree,Somewhat disagree,Strongly disagree,The United States,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Not at all,FL_24
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Somewhat agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat negative,Somewhat positive,Mostly,FL_23
0.200000003,Female,Black or African American,Bachelor’s degree,Conservative,Somewhat agree,Strongly agree,Somewhat disagree,The United States,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat negative,Somewhat negative,Slightly,FL_23
0.899999976,Male,White or Caucasian,Bachelor’s degree,Moderate,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat positive,Somewhat,FL_23
1,Male,White or Caucasian,Bachelor’s degree,Moderate,Somewhat agree,Strongly agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_23
0.899999976,Female,Black or African American,Bachelor’s degree,Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,The United States,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Neither agree nor disagree,Strongly agree,Somewhat disagree,Canada,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Not at all,FL_23
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly disagree,Somewhat disagree,Neither agree nor disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Neither positive nor negative,Somewhat,FL_23
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Moderate,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23
0.899999976,Male,White or Caucasian,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Not at all,FL_23
1,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat agree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Somewhat negative,Slightly,FL_24
0.899999976,Male,Black or African American,Bachelor’s degree,Very conservative,Strongly agree,Strongly agree,Somewhat agree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Somewhat negative,Extremely,FL_23
1,Male,White or Caucasian,Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Strongly disagree,The United States,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely negative,Somewhat positive,Mostly,FL_24
1,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Strongly disagree,The United States,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23
0.200000003,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,Canada,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither positive nor negative,Mostly,FL_24
0.899999976,Male,Asian,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Somewhat disagree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Neither positive nor negative,Somewhat,FL_23
0.899999976,Male,Black or African American,"Some college, but no degree",Very liberal,Strongly agree,Somewhat agree,Somewhat disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_23
0.899999976,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The United States,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat negative,Slightly,FL_24
0.800000012,Male,White or Caucasian,"Some college, but no degree",Conservative,Strongly agree,Strongly agree,Strongly disagree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat positive,Neither positive nor negative,Not at all,FL_23
0.800000012,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Somewhat agree,Neither,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24
1,Male,White or Caucasian,Some high school or less,Very liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Extremely negative,Not at all,FL_23
1,Male,White or Caucasian,Associates or technical degree,Moderate,Somewhat agree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Extremely negative,Not at all,FL_24
0.899999976,Female,Black or African American,Bachelor’s degree,Moderate,Somewhat disagree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat positive,Somewhat positive,Mostly,FL_24
0.600000024,Male,White or Caucasian,High school diploma or GED,Moderate,Strongly agree,Strongly disagree,Strongly agree,Canada,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat negative,Not at all,FL_23
0.899999976,Female,Black or African American,Bachelor’s degree,Liberal,Strongly agree,Strongly agree,Strongly agree,The United States,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Somewhat positive,Somewhat,FL_23
0.899999976,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat negative,Somewhat positive,Mostly,FL_23
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Somewhat agree,Canada,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_24
0.899999976,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Conservative,Strongly agree,Strongly agree,Strongly agree,The United States,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither positive nor negative,Somewhat positive,Mostly,FL_23
0.600000024,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,Canada,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Extremely positive,Somewhat negative,Not at all,FL_24
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Canada,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Not at all,FL_24
0.899999976,Female,"White or Caucasian,Other",Bachelor’s degree,Conservative,Strongly agree,Strongly agree,Somewhat disagree,Neither,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither positive nor negative,Somewhat positive,Not at all,FL_24
0.899999976,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Very liberal,Strongly agree,Strongly agree,Somewhat disagree,Canada,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat positive,Somewhat negative,Slightly,FL_23
1,Female,White or Caucasian,"Some college, but no degree",Very liberal,Somewhat agree,Somewhat disagree,Strongly disagree,Canada,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Extremely positive,Extremely negative,Not at all,FL_23
